"Date","ThreadID","Entity","IPAddress","Latency","445","3389"
"19/03/2019 21:32:12","40","HOST02","192.168.78.14","2","OK","OK"
"19/03/2019 21:32:12","13","HOST05","192.168.78.20","1","OK","OK"
"19/03/2019 21:32:12","38","HOST03","192.168.78.15","0","OK","OK"
"19/03/2019 21:32:12","36","HOST04","192.168.78.17","0","OK","OK"
"19/03/2019 21:32:12","39","HOST02","192.168.78.13","0","OK","OK"
"19/03/2019 21:32:16","43","HOST01","192.168.78.12","0","OK","OK"
"19/03/2019 21:32:17","14","HOST05","192.168.78.19","0","OK","OK"
"19/03/2019 21:32:22","39","HOST02","192.168.78.13","0","OK","OK"
"19/03/2019 21:32:17","3","HOST04","192.168.78.18","0","OK","OK"
"19/03/2019 21:32:19","40","HOST02","192.168.78.14","0","OK","OK"
"19/03/2019 21:32:19","38","HOST03","192.168.78.15","0","OK","OK"
"19/03/2019 21:32:23","13","HOST05","192.168.78.20","0","OK","OK"
"19/03/2019 21:32:16","45","HOST01","192.168.78.11","0","OK","OK"
"19/03/2019 21:32:17","37","HOST03","192.168.78.16","1","OK","OK"
"19/03/2019 21:32:30","3","HOST04","192.168.78.18","0","OK","OK"
"19/03/2019 21:32:32","38","HOST03","192.168.78.15","0","OK","OK"
"19/03/2019 21:32:20","36","HOST04","192.168.78.17","1","OK","OK"
"19/03/2019 21:32:33","39","HOST02","192.168.78.13","0","OK","OK"
"19/03/2019 21:32:35","3","HOST04","192.168.78.18","1","OK","OK"
"19/03/2019 21:32:31","14","HOST05","192.168.78.19","0","OK","OK"
"19/03/2019 21:32:36","38","HOST03","192.168.78.15","0","OK","OK"
"19/03/2019 21:32:32","13","HOST05","192.168.78.20","0","OK","OK"
"19/03/2019 21:32:33","43","HOST01","192.168.78.12","0","OK","OK"
"19/03/2019 21:32:36","40","HOST02","192.168.78.14","0","OK","OK"
"19/03/2019 21:32:37","39","HOST02","192.168.78.13","0","OK","OK"
"19/03/2019 21:32:39","14","HOST05","192.168.78.19","0","OK","OK"
"19/03/2019 21:32:36","36","HOST04","192.168.78.17","0","OK","OK"
"19/03/2019 21:32:41","13","HOST05","192.168.78.20","0","OK","OK"
"19/03/2019 21:32:41","38","HOST03","192.168.78.15","0","OK","OK"
"19/03/2019 21:32:42","3","HOST04","192.168.78.18","0","OK","OK"
"19/03/2019 21:32:49","39","HOST02","192.168.78.13","0","OK","OK"
"19/03/2019 21:32:53","40","HOST02","192.168.78.14","0","OK","OK"
"19/03/2019 21:32:49","38","HOST03","192.168.78.15","0","OK","OK"
"19/03/2019 21:32:48","14","HOST05","192.168.78.19","0","OK","OK"
"19/03/2019 21:32:53","13","HOST05","192.168.78.20","0","OK","OK"
